DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:59:26.228779+00:00,SMPB Odisha,https://smpbodisha.in/,Up (Slow),153.01,3041.9,55.67,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:31.862788+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,484.15,3.21,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:35.685166+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,652.43,3.83,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:39.482962+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,159.64,1445.1,2.75,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:43.242472+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1783.47,3.57,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:59:47.070301+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,35.89,480.89,4.6,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:59:49.211466+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1308.75,3.9,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:52.032676+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,95.91,1891.34,3.55,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:59:37.539639+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,462.56,8.33,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:59:41.685758+00:00,SMPB Odisha,https://smpbodisha.in/,Up,315.52,1244.98,3.26,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:45.264139+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,464.62,2.9,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:48.773795+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,444.1,3.19,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:52.032118+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,242.72,1269.74,4.08,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
